                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 0.1429,                0.70099,                0.88365,                0.01602,                      1,                0.03297,                0.01501,                 1.5178,                 199.33,                 3.9708,               0.002476,               0.002476,               0.002476
                     40,                0.11444,                0.68222,                0.87745,                0.01348,                      1,                0.04701,                0.03327,                0.88288,                 98.999,                 4.2334,               0.002278,               0.002278,               0.002278
                     41,                 0.0514,                0.63981,                0.85426,                0.01397,                      1,                 0.0417,                0.02805,                0.85289,                 156.67,                 2.5094,                0.00208,                0.00208,                0.00208
                     42,                0.03825,                0.62251,                0.85111,                0.02469,                      1,                0.18801,                0.04249,                0.94135,                 159.84,                 2.8725,               0.001882,               0.001882,               0.001882
                     43,                0.03178,                0.61121,                 0.8507,                0.03149,                      1,                0.18803,                0.05641,                 1.6756,                 212.81,                 9.0341,               0.001684,               0.001684,               0.001684
                     44,                    inf,                0.60068,                0.84996,                0.04724,                      1,                0.18801,                0.07771,                 1.4852,                 27.907,                 18.765,               0.001486,               0.001486,               0.001486
                     45,                    inf,                0.59879,                0.84998,                0.04724,                      1,                0.18595,                0.07438,                 1.5432,                 2.0915,                 16.529,               0.001288,               0.001288,               0.001288
                     46,                    inf,                0.59778,                0.84938,                0.04724,                      1,                0.18595,                0.07438,                 1.5695,                 1.9233,                 13.581,                0.00109,                0.00109,                0.00109
                     47,                    inf,                0.59947,                0.84978,                0.37792,                      1,                0.45468,                0.04547,                 1.5893,                 2.0982,                 12.206,               0.000892,               0.000892,               0.000892
                     48,                    inf,                 0.6013,                0.85009,                0.37792,                      1,                0.45468,                0.04547,                  1.585,                 2.3974,                 13.406,               0.000694,               0.000694,               0.000694
                     49,                0.02902,                 0.6029,                0.85043,                0.37792,                      1,                0.45468,                0.04547,                 1.5513,                 2.3589,                 15.617,               0.000496,               0.000496,               0.000496
                     50,                    inf,                0.60375,                0.85013,                0.37792,                      1,                0.45468,                0.04547,                 1.5744,                 2.1054,                 12.506,               0.000298,               0.000298,               0.000298
