                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.18789,                0.88368,                0.92753,                0.37792,                      1,                0.61432,                0.61432,                0.04001,                 58.097,                0.17482,              0.0033331,              0.0033331,              0.0033331
                      2,                0.12991,                0.66194,                0.88328,                0.37792,                      1,                0.59653,                0.59653,                0.03002,                 60.205,                 0.1655,              0.0066005,              0.0066005,              0.0066005
                      3,                0.11795,                0.65215,                0.88105,                0.37792,                      1,                 0.5846,                 0.5846,                0.04112,                 54.597,                0.17454,              0.0098018,              0.0098018,              0.0098018
                      4,                0.09597,                0.64039,                 0.8764,                0.37792,                      1,                0.59305,                0.59305,                0.07834,                 39.066,                0.20548,               0.009703,               0.009703,               0.009703
                      5,                    inf,                0.62925,                0.87441,                0.37792,                      1,                0.59118,                0.59118,                0.09487,                 33.565,                0.21519,               0.009604,               0.009604,               0.009604
                      6,                0.07153,                0.62571,                0.87226,                0.37792,                      1,                0.58804,                0.58804,                0.09105,                 28.449,                 0.2155,               0.009505,               0.009505,               0.009505
                      7,                 0.0674,                0.62234,                0.87231,                0.37792,                      1,                0.58582,                0.58582,                0.08405,                 29.749,                0.21168,               0.009406,               0.009406,               0.009406
                      8,                    inf,                0.62245,                 0.8718,                0.37792,                      1,                0.58538,                0.58538,                0.08278,                 33.207,                0.20851,               0.009307,               0.009307,               0.009307
                      9,                0.06275,                0.62209,                0.87126,                0.37792,                      1,                0.58404,                0.58404,                 0.0774,                 35.208,                0.20383,               0.009208,               0.009208,               0.009208
                     10,                0.06162,                0.62089,                0.87172,                0.37792,                      1,                0.58396,                0.58396,                0.06973,                  43.87,                0.19955,               0.009109,               0.009109,               0.009109
                     11,                    inf,                0.61846,                0.87179,                0.37792,                      1,                0.58424,                0.58424,                0.04831,                  50.74,                0.18743,                0.00901,                0.00901,                0.00901
                     12,                    inf,                0.61933,                0.87097,                0.37792,                      1,                0.58148,                0.58148,                0.04012,                 56.936,                0.18256,               0.008911,               0.008911,               0.008911
                     13,                0.05836,                0.61826,                0.87123,                0.37792,                      1,                0.59999,                0.59999,                0.03697,                 62.251,                0.18091,               0.008812,               0.008812,               0.008812
                     14,                0.05833,                0.61837,                0.87095,                0.37792,                      1,                 0.5979,                 0.5979,                0.03778,                 63.189,                0.17828,               0.008713,               0.008713,               0.008713
                     15,                0.05736,                0.61555,                0.87087,                0.37792,                      1,                0.59218,                0.59218,                0.03521,                 63.043,                0.17506,               0.008614,               0.008614,               0.008614
                     16,                    inf,                0.61511,                0.87102,                0.37792,                      1,                0.59457,                0.59457,                0.03263,                 62.783,                0.17307,               0.008515,               0.008515,               0.008515
                     17,                    inf,                0.61464,                0.87086,                0.37792,                      1,                0.59856,                0.59856,                0.03244,                 62.232,                0.17215,               0.008416,               0.008416,               0.008416
                     18,                0.05513,                0.61417,                0.87045,                0.37792,                      1,                0.58663,                0.58663,                 0.0336,                 61.697,                0.17017,               0.008317,               0.008317,               0.008317
                     19,                0.05457,                0.61457,                0.87054,                0.37792,                      1,                 0.5876,                 0.5876,                0.03346,                 60.854,                0.16864,               0.008218,               0.008218,               0.008218
